Sbj,Acq,File,SSIM,PSNR,AES,TG,NGS,GE,IE,Score
23-02-2021,MID00299,flirt_ref.nii.gz,1.0,0.0,12.678703316289281,6094595.354965442,0.0006972584969732697,431.940506016319,1482.9361743236514,4
23-02-2021,MID00299,flirt_tclmoco.nii.gz,0.9664871971483432,29.3146527180539,10.796570566005744,4942302.626409603,0.0006122914469931958,441.816045096184,1549.4969079740272,2
23-02-2021,MID00299,flirt_tclmocos.nii.gz,0.9680369281684877,29.37959782715344,10.740378462222612,4875753.077046199,0.000609852442208693,441.88360060712034,1537.2880949153011,2
23-11-2020,MID00384,flirt_fnWMmoco.nii.gz,0.9987566392155672,38.83051890337247,9.660022666227823,3989292.464060032,0.0004990407047698834,445.74215941747934,1430.5545404658574,4
23-11-2020,MID00384,flirt_fnmoco.nii.gz,0.9987487119593801,38.60018288398264,9.723747913586315,4064621.4947340707,0.0004963154945329216,445.38991450730146,1423.9590006197145,4
23-11-2020,MID00384,flirt_nomoco.nii.gz,1.0,0.0,9.574467557637051,4032129.803185887,0.0004872239887414626,446.8416520333599,1416.8726511169864,Not Found
23-11-2020,MID00384,flirt_ref.nii.gz,1.0,0.0,9.574467557637051,4032129.803185887,0.0004872239887414626,446.8416520333599,1416.8726511169864,4
23-11-2020,MID00384,flirt_tclmoco.nii.gz,0.9958513993827167,34.6643499737421,9.679252932510355,3967129.62164297,0.0004940697726714776,446.8798115054526,1433.6567306827244,4
23-11-2020,MID00384,flirt_tclmocos.nii.gz,0.9969431070118182,35.84662892794459,9.66098480755911,3987888.58583465,0.0004949464034200232,446.08875949233254,1439.5128893967817,4
23-11-2020,MID00385,flirt_fnWMmoco.nii.gz,0.968181285084304,26.092855068749195,9.32036578567872,3871601.7216956294,0.0004655636662049816,450.6762036768291,1496.6564645767016,2
23-11-2020,MID00385,flirt_fnmoco.nii.gz,0.9680582888975935,27.470711093383777,9.056729388544177,3621067.577014218,0.00045942081395740835,450.59722962710026,1466.159182025984,2
23-11-2020,MID00385,flirt_nomoco.nii.gz,0.9642262891817033,27.509019290085746,8.461766607626785,3329337.305292259,0.0004670113161396509,453.8109775758246,1434.7048554945334,2
23-11-2020,MID00385,flirt_ref.nii.gz,1.0,0.0,9.574467557637051,4032129.803185887,0.0004872239887414626,446.8416520333599,1416.8726511169864,4
