Subject,Acquisition,Radiographer1,Radiographer2,Radiologist1,Radiologist2
sub-17,acq-mpragepmcon_rec-wore_run-01,5,5,5,4
sub-18,acq-mpragepmcoff_rec-wre_run-02,3,3,3,3
sub-18,acq-mpragepmcoff_rec-wore_run-02,3,2,2,2
sub-18,acq-mpragepmcoff_rec-wre_run-03,3,3,3,2
sub-18,acq-mpragepmcoff_rec-wore_run-03,2,1,2,1
sub-18,ref_mprage,5,5,5,4
sub-18,acq-mpragepmcon_rec-wre_run-02,4,4,4,4
sub-18,acq-mpragepmcon_rec-wore_run-02,3,3,4,3
sub-18,acq-mpragepmcon_rec-wre_run-03,4,4,5,4
sub-18,acq-mpragepmcon_rec-wore_run-03,4,4,4,3
sub-18,acq-mpragepmcon_rec-wore_run-01,5,5,5,4
sub-19,acq-mpragepmcoff_rec-wre_run-02,3,3,3,3
sub-19,acq-mpragepmcoff_rec-wore_run-02,3,2,2,3
sub-19,acq-mpragepmcoff_rec-wre_run-03,3,3,4,3
sub-19,acq-mpragepmcoff_rec-wore_run-03,2,2,2,2
sub-19,ref_mprage,4,4,5,4
sub-19,acq-mpragepmcon_rec-wre_run-02,4,4,5,4
sub-19,acq-mpragepmcon_rec-wore_run-02,4,3,4,4
sub-19,acq-mpragepmcon_rec-wre_run-03,4,3,4,4
sub-19,acq-mpragepmcon_rec-wore_run-03,3,4,3,3
sub-19,acq-mpragepmcon_rec-wore_run-01,4,4,5,4
sub-20,acq-mpragepmcoff_rec-wre_run-02,3,3,3,3
sub-20,acq-mpragepmcoff_rec-wore_run-02,3,2,3,3
sub-20,acq-mpragepmcoff_rec-wre_run-03,3,2,3,3
sub-20,acq-mpragepmcoff_rec-wore_run-03,2,2,1,1
sub-20,ref_mprage,4,5,5,4
sub-20,acq-mpragepmcon_rec-wre_run-02,4,4,5,4
sub-20,acq-mpragepmcon_rec-wore_run-02,4,3,5,4
sub-20,acq-mpragepmcon_rec-wre_run-03,3,3,4,3
sub-20,acq-mpragepmcon_rec-wore_run-03,2,2,3,2
sub-20,acq-mpragepmcon_rec-wore_run-01,4,4,5,4
sub-21,acq-mpragepmcoff_rec-wre_run-02,4,3,4,3
sub-21,acq-mpragepmcoff_rec-wore_run-02,3,2,3,2
sub-21,acq-mpragepmcoff_rec-wre_run-03,4,3,4,3
sub-21,acq-mpragepmcoff_rec-wore_run-03,2,2,1,1
sub-21,ref_mprage,5,5,5,4
sub-21,acq-mpragepmcon_rec-wre_run-02,4,5,5,4
sub-21,acq-mpragepmcon_rec-wore_run-02,3,3,4,3
sub-21,acq-mpragepmcon_rec-wre_run-03,5,4,5,4
sub-21,acq-mpragepmcon_rec-wore_run-03,3,3,4,3
sub-21,acq-mpragepmcon_rec-wore_run-01,5,4,5,4
sub-22,acq-mpragepmcoff_rec-wre_run-02,2,1,2,3
sub-22,acq-mpragepmcoff_rec-wore_run-02,2,2,2,2
sub-22,acq-mpragepmcoff_rec-wre_run-03,3,3,3,3
sub-22,acq-mpragepmcoff_rec-wore_run-03,2,1,1,1
sub-22,ref_mprage,5,5,5,4
sub-22,acq-mpragepmcon_rec-wre_run-02,4,3,4,3
sub-22,acq-mpragepmcon_rec-wore_run-02,3,2,3,2
sub-22,acq-mpragepmcon_rec-wre_run-03,5,4,5,4
sub-22,acq-mpragepmcon_rec-wore_run-03,3,3,3,3
sub-22,acq-mpragepmcon_rec-wore_run-01,5,4,5,4
